,ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,LogIncome,NumChildren,HasChildren,HasPartner,age,MntTotal,AcceptedCmpTot,NumTotalPurchases,Len_Customer,MntSpentNorm,KM2,KM3,AC3,AC2,GM2,GM3
0,1826,1970,Bachelor,Divorced,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,84835.0,11.348475259995237,0,0,0,44,1190,0,16,110.0,10.818181818181818,0,2,1,0,0,0
1,1,1961,Bachelor,Single,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,57091.0,10.95241928074966,0,0,0,53,577,1,23,111.0,5.198198198198198,0,2,2,0,0,2
2,10476,1958,Bachelor,Married,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67267.0,11.11643991964264,1,1,1,56,251,0,13,144.0,1.7430555555555556,0,2,2,0,0,2
3,1386,1967,Bachelor,Together,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,32474.0,10.3882258415388,2,1,1,47,11,0,11,146.0,0.0753424657534246,1,1,0,1,1,1
4,5371,1989,Bachelor,Single,1,0,2014-04-08,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,21474.0,9.974644746852457,1,1,0,25,91,1,15,179.0,0.5083798882681564,1,1,0,1,1,1
5,7348,1958,PhD,Single,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,71691.0,11.180134444351488,0,0,0,56,1192,0,19,201.0,5.930348258706467,0,2,1,0,0,0
6,4073,1954,Master,Married,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,63564.0,11.059818283384224,0,0,1,60,1215,1,34,248.0,4.899193548387097,0,2,2,0,0,2
7,1991,1967,Bachelor,Together,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,44931.0,10.71290551476146,1,1,1,47,96,0,12,259.0,0.3706563706563706,1,1,0,1,1,1
8,4047,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,65324.0,11.087130090388811,1,1,1,60,544,0,24,266.0,2.045112781954887,0,0,2,0,0,2
9,9477,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,65324.0,11.087130090388811,1,1,1,60,544,0,24,266.0,2.045112781954887,0,0,2,0,0,2
10,2079,1947,Master,Married,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,81044.0,11.302759834946276,0,0,1,67,1208,0,23,281.0,4.298932384341637,0,2,1,0,0,0
11,5642,1979,Master,Together,1,0,2013-12-09,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,62499.0,11.042921835724492,1,1,1,35,222,0,16,299.0,0.7424749163879598,1,1,0,1,1,2
12,10530,1959,PhD,Widow,0,0,2013-12-07,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,67786.0,11.124125715130964,0,0,0,55,1156,0,17,301.0,3.840531561461794,0,2,1,0,0,0
13,2964,1981,Bachelor,Married,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,26872.0,10.198877344056111,0,0,1,33,72,0,11,353.0,0.2039660056657223,1,1,0,1,1,1
14,10311,1969,Bachelor,Married,0,1,2013-10-05,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,4428.0,8.395929103923198,1,1,1,45,359,0,26,364.0,0.9862637362637364,1,1,1,0,1,2
15,837,1977,Bachelor,Married,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,54809.0,10.911627938040162,2,1,1,37,174,0,16,388.0,0.4484536082474227,1,0,0,1,1,2
16,10521,1977,Bachelor,Married,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,54809.0,10.911627938040162,2,1,1,37,174,0,16,388.0,0.4484536082474227,1,0,0,1,1,2
17,10175,1958,PhD,Divorced,0,1,2013-08-01,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,32173.0,10.378913951950253,1,1,0,56,22,0,9,429.0,0.0512820512820512,1,1,0,1,1,1
18,1473,1960,Master,Single,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,47823.0,10.77528288452372,1,1,0,54,72,0,15,438.0,0.1643835616438356,1,1,0,1,1,1
19,2795,1958,Master,Single,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,30523.0,10.326268538409524,3,1,0,56,13,0,11,460.0,0.0282608695652173,1,1,0,1,1,1
20,2285,1954,Master,Together,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,36634.0,10.508759346594063,1,1,1,60,335,0,22,494.0,0.6781376518218624,1,0,0,1,0,2
21,115,1966,Master,Single,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,43456.0,10.679527222435633,1,1,0,48,393,0,22,557.0,0.7055655296229802,0,0,0,1,0,2
22,10470,1979,Master,Married,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,40662.0,10.613073867047843,1,1,1,35,92,0,12,568.0,0.1619718309859155,1,1,0,1,1,1
23,4065,1976,PhD,Married,1,0,2013-02-12,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,49544.0,10.810636626493,1,1,1,38,404,0,23,599.0,0.674457429048414,1,0,0,1,1,2
24,10968,1969,Bachelor,Single,0,1,2012-11-23,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,57731.0,10.963566891487456,1,1,0,45,704,0,32,680.0,1.035294117647059,0,0,2,0,0,2
25,5985,1965,Master,Single,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,33168.0,10.4093709837628,1,1,0,49,122,0,17,721.0,0.1692094313453536,1,1,0,1,1,1
26,5430,1956,Bachelor,Together,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,54450.0,10.905056493665374,2,1,1,58,684,0,39,750.0,0.912,0,0,2,0,0,2
27,8432,1956,Bachelor,Together,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,54450.0,10.905056493665374,2,1,1,58,684,0,39,750.0,0.912,0,0,2,0,0,2
28,453,1956,PhD,Widow,1,1,2014-06-29,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,35340.0,10.472799042021167,2,1,0,58,45,0,12,97.0,0.4639175257731959,1,1,0,1,1,1
29,9687,1975,Bachelor,Single,0,0,2014-05-31,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,73170.0,11.20055444658802,0,0,0,39,726,0,18,126.0,5.761904761904762,0,2,1,0,0,0
