,ID,KM3,GM3,MntTotal,MntSpentNorm,Income,Len_Customer,HasChildren,HasPartner,NumChildren,age,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmpTot,Response,Complain,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumTotalPurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,KM2,AC3,AC2,GM2,LogIncome,MntWinesNorm,MntFruitsNorm,MntMeatProductsNorm,MntFishProductsNorm,MntSweetProductsNorm,MntGoldProdsNorm,NumDealsPurchasesNorm,NumWebPurchasesNorm,NumStorePurchasesNorm,NumWebVisitsMonthNorm,NumCatalogPurchasesNorm,SpendPropOfTotal,AvgPerPurchase,NumTotalPurchasesNorm
0,1826,2,0,1190,10.818181818181818,84835.0,110.0,0,0,0,44,0,0,0,0,0,0,1,0,1970,Bachelor,Divorced,0,0,2014-06-16,0,189,104,379,111,189,218,16,1,4,4,6,1,1,0,0,1,0,0,11.348475259995237,1.7181818181818183,0.9454545454545454,3.4454545454545453,1.009090909090909,1.7181818181818183,1.981818181818182,0.00909090909090909,0.03636363636363636,0.05454545454545454,0.00909090909090909,0.03636363636363636,0.1015061322245857,74.375,0.14545454545454545
1,1,2,2,577,5.198198198198198,57091.0,111.0,0,0,0,53,0,1,0,0,0,1,1,0,1961,Bachelor,Single,0,0,2014-06-15,0,464,5,64,7,0,37,23,1,7,3,7,5,1,0,0,2,0,0,10.95241928074966,4.18018018018018,0.04504504504504504,0.5765765765765766,0.06306306306306306,0.0,0.3333333333333333,0.009009009009009009,0.06306306306306306,0.06306306306306306,0.04504504504504504,0.02702702702702703,0.07247667348208589,25.08695652173913,0.2072072072072072
2,10476,2,2,251,1.7430555555555556,67267.0,144.0,1,1,1,56,0,0,0,0,0,0,0,0,1958,Bachelor,Married,0,1,2014-05-13,0,134,11,59,15,2,30,13,1,3,2,5,2,0,0,0,2,0,0,11.11643991964264,0.9305555555555556,0.0763888888888889,0.4097222222222222,0.10416666666666667,0.013888888888888888,0.20833333333333334,0.006944444444444444,0.020833333333333332,0.034722222222222224,0.013888888888888888,0.013888888888888888,0.020626343113595406,19.307692307692307,0.09027777777777778
3,1386,1,1,11,0.0753424657534246,32474.0,146.0,1,1,2,47,0,0,0,0,0,0,0,0,1967,Bachelor,Together,1,1,2014-05-11,0,10,0,1,0,0,0,11,1,1,0,2,7,0,0,1,0,1,1,10.3882258415388,0.0684931506849315,0.0,0.00684931506849315,0.0,0.0,0.0,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.04794520547945205,0.0,0.0018467882841573574,1.0,0.07534246575342465
4,5371,1,1,91,0.5083798882681564,21474.0,179.0,1,0,1,25,0,0,1,0,0,1,1,0,1989,Bachelor,Single,1,0,2014-04-08,0,6,16,24,11,0,34,15,2,3,1,2,7,1,0,1,0,1,1,9.974644746852457,0.0335195530726257,0.0893854748603352,0.1340782122905028,0.061452513966480445,0.0,0.18994413407821228,0.0111731843575419,0.01675977653631285,0.0111731843575419,0.03910614525139665,0.00558659217877095,0.018844667554319294,6.066666666666666,0.08379888268156424
5,7348,2,0,1192,5.930348258706467,71691.0,201.0,0,0,0,56,0,0,0,0,0,0,1,0,1958,PhD,Single,0,0,2014-03-17,0,336,130,411,240,32,43,19,1,4,7,5,2,1,0,0,1,0,0,11.180134444351488,1.671641791044776,0.6467661691542289,2.044776119402985,1.1940298507462686,0.15920398009950248,0.21393034825870647,0.004975124378109453,0.01990049751243781,0.024875621890547265,0.009950248756218905,0.03482587064676617,0.06584588322007431,62.73684210526316,0.0945273631840796
6,4073,2,2,1215,4.899193548387097,63564.0,248.0,0,1,0,60,0,0,1,0,0,1,1,0,1954,Master,Married,0,0,2014-01-29,0,769,80,252,15,34,65,34,1,10,10,7,6,1,0,0,2,0,0,11.059818283384224,3.100806451612903,0.3225806451612903,1.0161290322580645,0.06048387096774194,0.13709677419354838,0.2620967741935484,0.004032258064516129,0.04032258064516129,0.028225806451612902,0.024193548387096774,0.04032258064516129,0.06135167806488152,35.73529411764706,0.13709677419354838
7,1991,1,1,96,0.3706563706563706,44931.0,259.0,1,1,1,47,0,0,0,0,0,0,0,0,1967,Bachelor,Together,0,1,2014-01-18,0,78,0,11,0,0,7,12,1,2,1,3,5,0,0,1,0,1,1,10.71290551476146,0.30115830115830117,0.0,0.04247104247104247,0.0,0.0,0.02702702702702703,0.003861003861003861,0.007722007722007722,0.011583011583011582,0.019305019305019305,0.003861003861003861,0.006566568094243864,8.0,0.04633204633204633
8,4047,0,2,544,2.045112781954887,65324.0,266.0,1,1,1,60,0,0,0,0,0,0,0,0,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,24,3,6,2,9,4,0,0,0,2,0,0,11.087130090388811,1.443609022556391,0.0,0.38345864661654133,0.07894736842105263,0.12030075187969924,0.018796992481203006,0.011278195488721804,0.022556390977443608,0.03383458646616541,0.015037593984962405,0.007518796992481203,0.024920546421469753,22.666666666666668,0.09022556390977443
9,9477,0,2,544,2.045112781954887,65324.0,266.0,1,1,1,60,0,0,0,0,0,0,0,0,1954,PhD,Married,0,1,2014-01-11,0,384,0,102,21,32,5,24,3,6,2,9,4,0,0,0,2,0,0,11.087130090388811,1.443609022556391,0.0,0.38345864661654133,0.07894736842105263,0.12030075187969924,0.018796992481203006,0.011278195488721804,0.022556390977443608,0.03383458646616541,0.015037593984962405,0.007518796992481203,0.024920546421469753,22.666666666666668,0.09022556390977443
10,2079,2,0,1208,4.298932384341637,81044.0,281.0,0,1,0,67,0,0,0,0,0,0,0,0,1947,Master,Married,0,0,2013-12-27,0,450,26,535,73,98,26,23,1,5,6,10,1,0,0,0,1,0,0,11.302759834946276,1.601423487544484,0.09252669039145907,1.903914590747331,0.2597864768683274,0.3487544483985765,0.09252669039145907,0.0035587188612099642,0.017793594306049824,0.03558718861209965,0.0035587188612099642,0.021352313167259787,0.04222336234558935,52.52173913043478,0.08185053380782918
